Time,Die,Zeit,Zeiten
Man,Der,Mann,Männer
Hand,Die,Hand,Hände
Day,Der,Tag,Tagen
Way,Der,Weg,Wege
Eye,Das,Auge,Augen
Thing,Das,Ding,Dinge
Head,Der,Kopf,Köpfe
Year,Das,Jahr,Jahre
Room,Der,Raum,Räume
Door,Die,Tür,Türen
Woman,Die,Frau,Frauen
Face,Das,Gesicht,Gesichter
Mother,Die,Mutter,Mütter
People,Das,Volk,Völker
Night,Die,Nacht,Nächte
House,Das,Haus,Häuser
Father,Der,Vater,Väter
Life,Das,Leben,Leben
Back,Der,Rücken,Rücken
Voice,Die,Stimme,Stimmen
Girl,Das,Mädchen,Mädchen
Place,Der,Ort,Orte
Boy,Der,Junge,Jungen
Car,Das,Auto,Autos
Side,Die,Seite,Seiten
Arm,Der,Arm,Arme
Child,Das,Kind,Kinder
Word,Das,Wort,Worte
Moment,Der,Moment,Momente
Hair,Das,Haar,Haare
Foot,Der,Fuß,Füße
Water,Das,Wasser,Wasser
Light,Das,Licht,Lichter
World,Die,Welt,Welt
Name,Der,Name,Namen
Friend,Der,Freund,Freunde
Window,Das,Fenster,Fenster
Body,Der,Körper,Körper
Table,Der,Tisch,Tabellen
Morning,Der,Morgen,Morgen
Bed,Das,Bett,Betten
Wall,Die,Mauer,Wände
Street,Die,Straße,Straßen
School,Die,Schule,Schulen
Air,Die,Luft,Lüfte
Floor,Der,Boden,Böden
Hour,Die,Stunde,Stunden
End,Das,Ende,Enden
Family,Die,Familie,Familien
Guy,Der,Kerl,Kerle
Kind,Die,Art,Arten
Minute,Die,Minute,Minuten
Story,Die,Geschichte,Geschichten
God,Der,Gott,Götter
Week,Die,Woche,Wochen
Work,Die,Arbeit,Werke
Shoulder,Die,Schulter,Schultern
Part,Der,Teil,Teile
Mind,Der,Geist,Gemüter
Book,Das,Buch,Bücher
Finger,Der,Finger,Finger
Mouth,Der,Mund,Mündungen
Kid,Das,Kind,Kinder
Glass,Das,Glas,Brille
Tree,Der,Baum,Bäume
Sound,Der,Klang,Geräusche
Line,Die,Linie,Linien
Wife,Die,Ehefrau,Ehefrauen
Heart,Das,Herz,Herzen
Money,Das,Geld,Gelder
Phone,Das,Telefon,Telefone
Look,Das,Aussehen,Blicke
Leg,Das,Bein,Beine
Chair,Der,Stuhl,Stühle
Office,Das,Büro,Büros
Brother,Der,Bruder,Brüder
Question,Die,Frage,Fragen
City,Die,Stadt,Städte
Month,Der,Monat,Monate
Baby,Das,Baby,Babys
Dog,Der,Hund,Hunde
Road,Die,Straße,Straßen
Idea,Die,Idee,Ideen
Kitchen,Die,Küche,Küchen
Lot,Das,Los,Lose
Son,Der,Sohn,Söhne
Job,Der,Beruf,Jobs
Paper,Das,Papier,Papiere
Sister,Die,Schwester,Schwestern
Smile,Das,Lächeln,Lächeln
Point,Der,Punkt,Punkte
Thought,Der,Gedanke,Gedanken
Love,Die,Liebe,Liebe
Death,Der,Tod,Tode
Ground,Der,Boden,Böden
Others,Die,Anderen,
Fire,Das,Feuer,Feuer
Step,Der,Schritt,Schritte
Blood,Das,Blut,Blute
Fact,Der,Fakt,Fakten
Breath,Der,Atem,Atem
Lip,Die,Lippe,Lippen
Sun,Die,Sonne,Sonnen
Building,Das,Gebäude,Gebäude
Number,Die,Anzahl,Nummern
Husband,Der,Ehemann,Ehemänner
Parent,Das,Elternteil,Eltern
Corner,Die,Ecke,Ecken
Problem,Das,Problem,Probleme
Couple,Das,Ehepaar,Paare
Daughter,Die,Tochter,Töchter
Bag,Der,Beutel,Taschen
Hell,Die,Hölle,Höllen
Rest,Die,Rast,Reste
Business,Das,Geschäft,Unternehmen
Sky,Der,Himmel,Himmel
Box,Die,Kiste,Boxs
Person,Die,Person,Personen
Reason,Der,Grund,Gründe
Right,Das,Recht,Rechte
Skin,Die,Haut,Häute
Dad,Der,Vater,Väter
Case,Der,Fall,Fälle
Piece,Das,Stück,Stücke
Doctor,Der,Doktor,Doktoren
Edge,Die,Ecke,Kanten
Mom,Die,Mama,Mütter
Picture,Das,Bild,Bilder
Sense,Der,Sinn,Sinne
Ear,Das,Ohr,Ohren
Second,Der,Zweite,Sekunden
Lady,Die,Dame,Damen
Neck,Der,Hals,Hälse
Wind,Der,Wind,Winde
Desk,Der,Schreibtisch,Schreibtische
Gun,Die,Waffe,Waffen
Stone,Der,Stein,Steine
Coffee,Der,Kaffee,Kaffee
Ship,Das,Schiff,Schiffe
Earth,Die,Erde,Erden
Food,Das,Essen,Essen
Horse,Das,Pferd,Pferde
Field,Das,Feld,Felder
War,Der,Krieg,Kriege
Afternoon,Der,Nachmittag,Nachmittage
Space,Der,Raum,Räume
Evening,Der,Abend,Abende
Letter,Der,Brief,Briefe
Bar,Die,Bar,Bars
Dream,Der,Traum,Träume
Apartment,Die,Wohnung,Wohnungen
Chest,Die,Brust,Truhen
Game,Das,Spiel,Spiele
Summer,Der,Sommer,Sommer
Matter,Der,Grund,Angelegenheiten
Silence,Die,Stille,Stille
Top,Die,Spitze,Spitzen
Rock,Der,Fels,Steine
Power,Die,Macht,Befugnisse
Clothes,Die,Kleider,Clotheses
Sign,Das,Schild,Zeichen
Attention,Die,Aufmerksamkeit,Aufmerksamkeit
Music,Die,Musik,Musiken
State,Der,Staat,Staaten
Pocket,Die,Tasche,Taschen
Dinner,Das,Abendessen,Abendessen
Hall,Die,Halle,Hallen
Pain,Der,Schmerz,Schmerzen
Age,Das,Alter,Alter
River,Der,Fluss,Flüsse
Chance,Die,Chance,Chancen
Nose,Die,Nase,Nasen
Shadow,Der,Schatten,Schatten
Police,Die,Polizei,Politiken
Memory,Das,Gedächtnis,Erinnerungen
Color,Die,Farbe,Farben
Knee,Das,Knie,Knie
Wood,Das,Holz,Wald
Shirt,Das,Hemd,Hemden
Party,Die,Party,Parteien
Country,Das,Land,Länder
Truck,Der,Lkw,Lastwagen
Tooth,Der,Zahn,Tooths
Bill,Die,Rechnung,Rechnungen
Scene,Die,Szene,Szenen
Land,Das,Land,Ländereien
Star,Der,Stern,Sterne
Bird,Der,Vogel,Vögel
Bedroom,Das,Schlafzimmer,Schlafzimmer
Uncle,Der,Onkel,Onkel
Sort,Die,Art,Sorten
Group,Die,Gruppe,Gruppen
Truth,Die,Wahrheit,Wahrheiten
Trouble,Die,Schwierigkeiten,Probleme
Crowd,Die,Menge,Menschenmengen
Station,Der,Bahnhof,Stationen
Tear,Die,Reiß,Tränen
Class,Die,Klasse,Klassen
Sea,Das,Meer,Meere
Animal,Das,Tier,Tiere
Center,Das,Zentrum,Zentren
Feeling,Das,Gefühl,Gefühle
Store,Das,Geschäft,Läden
Mountain,Der,Berg,Berge
News,Die,Nachrichten,Newses
Shoe,Der,Schuh,Schuhe
Cat,Die,Katze,Katzen
Screen,Der,Bildschirm,Schirme
Bottle,Die,Flasche,Flaschen
Call,Der,Anruf,Anrufe
Living,Die,Lebenden,Livings
Cheek,Die,Wange,Wangen
Student,Der,Schüler,Studenten
Ball,Der,Ball,Bälle
Sight,Die,Sehenswürdigkeit,Sehenswürdigkeiten
Hill,Der,Hügel,Hügel
Company,Das,Unternehmen,Betriebe
Church,Die,Kirche,Kirchen
Rain,Der,Regen,Regenzeit
Suit,Der,Anzug,Anzüge
One,Der,Eine,Einen
Direction,Die,Richtung,Richtungen
Will,Der,Wille,Testamente
Throat,Der,Hals,Kehlen
Middle,Die,Mitte,Middles
Answer,Die,Antwort,Antworten
Stuff,Das,Zeug,Stoffe
Hospital,Das,Krankenhaus,Krankenhäuser
Camera,Die,Kamera,Kameras
Dress,Das,Kleid,Kleider
Card,Die,Karte,Karten
Yard,Der,Hof,Werften
Dark,Die,Dunkelheit,Dunkelheiten
Shit,Die,Scheiße,Scheiße
Image,Das,Bild,Bilder
Machine,Die,Maschine,Maschinen
Distance,Die,Distanz,Abstände
Area,Das,Gebiet,Bereiche
Narrator,Der,Erzähler,Erzähler
Ice,Das,Eis,Ices
Snow,Der,Schnee,Schnee
Note,Die,Notiz,Notizen
Mirror,Der,Spiegel,Spiegel
King,Der,König,Könige
Fear,Die,Angst,Ängste
Officer,Der,Offizier,Offiziere
Hole,Das,Loch,Löcher
Shot,Der,Schuss,Schüsse
Guard,Der,Wächter,Wachen
Conversation,Die,Unterhaltung,Gespräche
Boat,Das,Boot,Boote
System,Das,System,Systeme
Care,Die,Pflege,Sorgen
Bit,Die,Bit,Bits
Movie,Der,Film,Filme
Bone,Der,Knochen,Knochen
Page,Die,Seite,Seiten
Captain,Der,Kapitän,Kapitäne
Aunt,Die,Tante,Tanten
Darkness,Die,Dunkelheit,
Control,Die,Kontrolle,Kontrollen
Drink,Das,Getränk,Getränke
Hotel,Das,Hotel,Hotels
Coat,Der,Mantel,Mäntel
Stair,Die,Treppen,Treppe
Order,Die,Bestellung,Bestellungen
Rose,Die,Rose,Rosen
Miss,Die,Miss,Misses
Hat,Der,Hut,Hüte
Gold,Das,Gold,
Cigarette,Die,Zigarette,Zigaretten
Cloud,Die,Wolke,Wolken
View,Die,Aussicht,Ansichten
Driver,Der,Fahrer,Fahrer
Cup,Die,Tasse,Tassen
Figure,Die,Figur,Figuren
Expression,Der,Ausdruck,Ausdrücke
Path,Der,Pfad,Pfade
Key,Der,Schlüssel,Schlüssel
Computer,Der,Computer,Computer
Flower,Die,Blume,Blumen
Ring,Der,Ring,Ringe
Bathroom,Das,Bad,Badezimmer
Metal,Das,Metall,Metalle
Moon,Der,Mond,Monde
Song,Das,Lied,Lieder
Soldier,Der,Soldat,Soldaten
Radio,Das,Radio,Funkgeräte
History,Die,Geschichte,Geschichten
Wave,Die,Welle,Wellen
Plan,Der,Plan,Pläne
College,Das,College,Colleges
Fish,Der,Fisch,Fische
Garden,Der,Garten,Gärten
Train,Der,Zug,Züge
Shop,Das,Geschäft,Läden
Cop,Der,Polizist,Polizisten
Art,Die,Kunst,Künste
Beer,Das,Bier,Biere
North,Der,Norden,
Island,Die,Insel,Inseln
Bus,Der,Bus,Busse
Smell,Der,Geruch,Gerüche
Noise,Das,Geräusch,Geräusche
Mama,Die,Mama,Mamas
Park,Der,Park,Parks
South,Der,Süden,Souths
Pair,Das,Paar,Paare
Lord,Der,Herr,Herren
Plate,Der,Teller,Platten
Jacket,Die,Jacke,Jacken
Help,Die,Hilfe,Hilft
Daddy,Der,Papa,Väter
Grass,Das,Gras,Gräser
Thanks,Die,Dank,Thankses
Heat,Die,Hitze,Heats
Sleep,Der,Schlaf,Schlafplätze
Brain,Das,Gehirn,Gehirne
Service,Der,Service,Dienstleistungen
Trip,Die,Reise,Ausflüge
Beat,Der,Beat,Beats
Knife,Das,Messer,Messer
Spot,Der,Platz,Flecken
Message,Die,Nachricht,Nachrichten
Mark,Die,Note,Noten
Teacher,Der,Lehrer,Lehrer
Gaze,Der,Blick,Blicke
Village,Das,Dorf,Dörfer
Winter,Der,Winter,Winter
Front,Die,Front,Fronten
Law,Das,Gesetz,Gesetze
Surface,Die,Oberfläche,Oberflächen
Bank,Die,Bank,Banken
Team,Das,Team,Teams
Maximum,Das,Maximum,Maxima
Position,Die,Position,Positionen
Stomach,Der,Bauch,Mägen
Turn,Die,Wende,Windungen
West,Der,Westen,Wests
Lunch,Das,Mittagessen,Mittagessen
Change,Der,Wechsel,Veränderungen
Creature,Die,Kreatur,Kreaturen
Soul,Die,Seele,Seelen
Leaf,Das,Blatt,Blätter
Show,Die,Show,Shows
Gate,Das,Tor,Tore
Palm,Die,Palme,Handflächen
Plastic,Der,Kunststoff,Kunststoff
Force,Die,Kraft,Kräfte
Beach,Der,Strand,Strände
President,Der,Präsident,Präsidenten
Shape,Die,Form,Formen
Smoke,Der,Rauch,Raucht
Wheel,Das,Rad,Räder
Silver,Das,Silber,Silber
Roof,Das,Dach,Dächer
Weight,Das,Gewicht,Gewichte
Tongue,Die,Zunge,Zungen
Tea,Der,Tee,Tees
Track,Die,Strecke,Spuren
Angle,Der,Winkel,Winkel
Form,Die,Form,Formen
Tone,Der,Ton,Töne
Circle,Der,Kreis,Kreise
Spring,Der,Frühling,Federn
Porch,Die,Vorhalle,Veranden
Sheet,Das,Blatt,Blätter
Member,Das,Mitglied,Angehörigen
Pool,Das,Schwimmbecken,Pools
Need,Das,Bedürfnis,Bedürfnisse
Hope,Die,Hoffnung,Hoffnungen
Lake,Der,See,Seen
Breast,Die,Brust,Brüste
Surprise,Die,Überraschung,Überraschungen
Interest,Die,Interesse,Interessen
Bottom,Der,Boden,Böden
Spirit,Der,Geist,Geister
Block,Der,Block,Blöcke
Language,Die,Sprache,Sprachen
Bridge,Die,Brücke,Brücken
Dust,Der,Staub,
Cell,Die,Zelle,Zellen
Wine,Der,Wein,Weine
Boot,Das,Boot,Stiefel
Choice,Die,Wahl,Entscheidungen
Row,Die,Reihe,Reihen
Talk,Das,Gespräch,Gespräche
Plane,Das,Flugzeug,Flugzeuge
Watch,Die,Uhr,Uhren
Information,Die,Information,Informationen
Grandmother,Die,Großmutter,Großmütter
Wing,Der,Flügel,Flügel
Bob,Die,Bob,Bobs
Club,Der,Club,Vereine
Master,Der,Meister,Meister
Grace,Die,Gnade,Gnaden
Forest,Der,Wald,Wälder
Size,Die,Größe,Größen
Set,Der,Satz,Sätze
Marriage,Die,Ehe,Ehen
Forehead,Die,Stirn,Stirn
Storm,Der,Sturm,Stürme
Doorway,Die,Türöffnung,Türen
Situation,Die,Situation,Situationen
Counter,Der,Zähler,Zähler
Neighbor,Der,Nachbar,Nachbarn
Photo,Das,Foto,Fotos
Stage,Die,Bühne,Bühnen
Meeting,Das,Treffen,Treffen
Nurse,Die,Krankenschwester,Krankenschwestern
Security,Die,Sicherheit,
Weapon,Die,Waffe,Waffen
Event,Das,Ereignis,Ereignisse
Ceiling,Die,Decke,Decken
Engine,Der,Motor,Motoren
Gift,Das,Geschenk,Geschenke
Restaurant,Das,Restaurant,Restaurants
Board,Die,Brett,Bretter
Hallway,Der,Flur,Flure
Army,Die,Armee,Armeen
Effort,Der,Aufwand,Aufwände
East,Der,Osten,Easts
Agent,Der,Agent,Mittel
Future,Die,Zukunft,Futures
Pant,Die,Hose,Hose
Leather,Das,Leder,Leder
Flight,Der,Flug,Flüge
Sex,Das,Geschlecht,Geschlechter
Court,Das,Gericht,Gerichte
Course,Der,Kurs,Kurse
Dirt,Der,Dreck,Dirts
Egg,Das,Ei,Eier
Chin,Das,Kinn,Kinne
Stranger,Der,Fremde,Fremden
Pleasure,Die,Freude,Freuden
Detail,Das,Detail,Details
Crew,Die,Besatzung,Besatzungen
Fall,Der,Herbst,Wasserfälle
Guest,Der,Gast,Gäste
Experience,Das,Erlebnis,Erlebnisse
Joke,Der,Witz,Witze
Sand,Der,Sand,Sand
Fist,Die,Faust,Fäuste
Action,Die,Aktion,Aktionen
Walk,Das,Wandern,Wanderungen
Wedding,Die,Hochzeit,Hochzeiten
Deal,Das,Angebot,Angebote
Nature,Die,Natur,
Planet,Der,Planet,Planeten
Cousin,Der,Cousin,Cousinen
Movement,Die,Bewegung,Bewegungen
Flesh,Das,Fleisch,Konkretisiert
Record,Der,Datensatz,Datensätze
Camp,Das,Lager,Läger
Newspaper,Die,Zeitung,Zeitung
Ray,Der,Strahl,Strahlen
Human,Der,Mensch,Menschen
Couch,Das,Sofa,Sofas
Motion,Die,Bewegung,Bewegungen
Grandfather,Der,Großvater,Großväter
Photograph,Die,Fotografie,Fotografien
Secret,Das,Geheimnis,Geheimnisse
Beauty,Die,Schönheit,Schönheiten
Presence,Das,Vorhandensein,Präsenzen
Bell,Die,Glocke,Glocken
Folk,Die,Volks,Leute
Button,Der,Knopf,Knöpfe
List,Die,Liste,Listen
Level,Das,Level,Niveaus
Date,Das,Datum,Daten
Subject,Das,Thema,Fächer
Difference,Der,Unterschied,Unterschiede
Pause,Die,Pause,Pausen
Van,Der,Van,Wagen
Blade,Die,Klinge,Klingen
Television,Das,Fernsehen,Fernseher
Cover,Die,Titelseite,Abdeckungen
Past,Die,Vergangenheit,Vergangenheit
Farm,Der,Bauernhof,Bauernhöfe
Lap,Die,Runden,Runden
Band,Die,Band,Bands
Lawyer,Der,Anwalt,Anwälte
Magazine,Das,Magazin,Zeitschriften
Branch,Der,Ast,Zweige
Frame,Der,Rahmen,Rahmen
Deck,Das,Deck,Decks
Effect,Der,Effekt,Effekte
Dance,Der,Tanz,Tänze
Vision,Die,Sicht,Visionen
Ghost,Das,Gespenst,Geister
Ass,Der,Esel,Esel
Character,Der,Charakter,Charaktere
Glance,Der,Blick,Blicke
GoodBye,Das,Auf,Die
Parking,Das,Park,Parkplätze
Breakfast,Das,Frühstück,Frühstück
Gesture,Die,Geste,Gesten
Luck,Das,Glück,Lucks
Blanket,Die,Decke,Decken
Gas,Das,Gas,Gase
Corridor,Der,Korridor,Flure
Professor,Der,Professor,Professoren
Play,Das,Spiel,Spiele
Mistake,Der,Fehler,Fehler
University,Die,Universität,Universitäten
Ocean,Der,Ozean,Ozeane
Century,Das,Jahrhundert,Jahrhunderte
Honey,Der,Honig,Honige
Pile,Der,Stapel,Stapel
Bowl,Die,Schale,Schalen
Base,Die,Basis,Basen
Fence,Der,Zaun,Zäune
Rule,Die,Regel,Regeln
Laughter,Das,Gelächter,Gelächter
Anger,Die,Wut,Angers
Sweat,Der,Schweiß,Schweißausbrüche
Accident,Der,Unfall,Unfälle
Weather,Das,Wetter,
Decision,Die,Entscheidung,Entscheidungen
Angel,Der,Engel,Engel
Strength,Die,Stärke,Stärken
Chicken,Das,Huhn,Hühner
Study,Die,Studium,Studien
Tape,Das,Band,Bänder
Wrist,Das,Handgelenk,Handgelenke
Stop,Der,Halt,Anschläge
Hip,Die,Hüfte,Hüften
Government,Die,Regierung,Regierungen
Belly,Der,Bauch,Bäuche
Queen,Die,Königin,Königinnen
Report,Der,Bericht,Berichte
Tail,Der,Schweif,Schwänze
Plant,Die,Pflanze,Pflanzen
Flame,Die,Flamme,Flammen
Heaven,Der,Himmel,Himmel
Belt,Der,Gürtel,Gürtel
Neighborhood,Die,Nachbarschaft,Nachbarschaften
Energy,Die,Energie,Energien
Green,Das,Grün,Grünen
Quarter,Das,Viertel,Viertel
Enemy,Der,Feind,Feinde
Move,Die,Bewegung,Züge
Entrance,Der,Eingang,Zugänge
Library,Die,Bibliothek,Bibliotheken
Writer,Der,Verfasser,Autoren
Peace,Der,Frieden,Peaces
Touch,Die,Berührung,Berührungen
Pot,Der,Topf,Töpfe
Type,Der,Typ,Typen
Cause,Der,Grund,Gründe
Rope,Das,Seil,Seile
Muscle,Der,Muskel,Muskeln
Painting,Das,Gemälde,Gemälde
Curtain,Die,Gardine,Vorhänge
Meal,Die,Mahlzeit,Essen
Act,Der,Akt,Handlungen
Wolf,Der,Wolf,Wölfe
Cabin,Die,Kajüte,Kabinen
Charge,Die,Ladung,Ladungen
Clock,Die,Uhr,Uhren
Passenger,Der,Passagier,Passagiere
Buddy,Der,Kumpel,Freunde
Drug,Das,Medikament,Arzneimittel
Use,Die,Verwendung,Verwendungen
Bench,Die,Bank,Bänke
Traffic,Der,Verkehr,Verkehre
Relief,Das,Relief,Reliefs
Cap,Die,Kappe,Kappen
Pack,Das,Rudel,Packungen
Weekend,Das,Wochenende,Wochenenden
Stand,Der,Stand,Stände
Elevator,Der,Aufzug,Aufzüge
Birthday,Der,Geburtstag,Geburtstage
Lily,Die,Lilie,Lilien
Iron,Das,Bügeleisen,Eisen
Meat,Das,Fleisch,Fleisch
Eyebrow,Die,Augenbraue,Augenbrauen
Response,Die,Antwort,Antworten
Speed,Die,Geschwindigkeit,Geschwindigkeiten
Purpose,Die,Absicht,Zwecke
Skirt,Der,Rock,Röcke
Square,Das,Quadrat,Quadrate
Drive,Die,Fahrt,Antriebe
Article,Den,Artikel,Artikel
English,Das,Englisch,Englishes
Tower,Der,Turm,Türme
Battle,Der,Kampf,Schlachten
Film,Der,Film,Filme
Race,Das,Rennen,Rennen
Shock,Der,Schock,Schocks
Section,Die,Sektion,Abschnitte
Manner,Die,Methode,Sitten
Sword,Das,Schwert,Schwerter
Stick,Der,Stock,Stöcke
File,Die,Datei,Dateien
Bread,Das,Brot,Brote
Oil,Das,Öl,Öle
Chain,Die,Kette,Ketten
Department,Die,Abteilung,Abteilungen
Project,Das,Projekt,Projekte
Murder,Der,Mord,Morde
Bear,Der,Bär,Bären
Test,Der,Test,Tests
Visit,Der,Besuch,Besuche
Milk,Die,Milch,Milch
Boss,Der,Chef,Bosse
Elbow,Der,Ellbogen,Ellbogen
Desire,Das,Verlangen,Wünsche
Patient,Der,Patient,Patienten
Grin,Das,Grinsen,Grins
Lover,Der,Liebhaber,Liebhaber
Price,Der,Preis,Preise
Map,Die,Karte,Karten
Knowledge,Das,Wissen,Erkenntnisse
Beginning,Der,Anfang,Anfänge
Cold,Die,Kälte,Erkältung
Closet,Der,Schrank,Schränke
Dawn,Die,Morgendämmerung,Morgengrauen
Temple,Der,Tempel,Tempel
Joy,Der,Spaß,Freuden
Duty,Die,Pflicht,Aufgaben
Practice,Die,Übung,Praktiken
Heel,Die,Ferse,Fersen
Valley,Das,Tal,Täler
Fight,Der,Kampf,Kämpfe
Wire,Das,Kabel,Drähte
Jeans,Die,Jeans,Jeanses
Kiss,Der,Kuss,Küsse
Jaw,Der,Kiefer,Backen
Run,Die,Lauf,Läufe
Hold,Der,Halt,Laderäume
Relationship,Das,Verhältnis,Beziehungen
Object,Das,Objekt,Objekte
Attack,Der,Angriff,Angriffe
Dish,Das,Gericht,Geschirr
Highway,Die,Autobahn,Autobahnen
Shade,Die,Schattierung,Schatten
Crime,Das,Verbrechen,Verbrechen
White,Das,Weiß,Weißen
Partner,Der,Partner,Partner
Priest,Der,Priester,Priester
